firm,product_name,launch_date,asset_class,product_structure,target_client,min_investment,fees,description,source_link,source_person
UBS,UBS Sustainable Development Bank Bonds 5-10 UCITS ETF,2024-11-15,Investment-grade fixed income,Passive UCITS ETF,Income-oriented wealth and institutional investors seeking high-quality development-bank debt,Typically 1 share / exchange trading minimum,0.18% TER,Fixed income ETF focused on medium-duration bonds issued by multilateral development banks. It offers exposure to high-quality 5-10 year debt and adds a sustainability-linked bond building block to wealth portfolios.,https://www.justetf.com/uk/etf-profile.html?isin=LU2880762948 ; https://www.etfstrategy.com/ubs-unveils-its-second-development-bank-bond-etf-10339/,Person 2
Schwab,Schwab Mortgage-Backed Securities ETF (SMBS),2024-11-19,Agency mortgage-backed securities,Passive ETF,Investors seeking low-cost agency MBS exposure,1 share (plus brokerage minimums),0.03%,Passive ETF tracking a benchmark of investment-grade mortgage-backed securities issued and/or guaranteed by U.S. government agencies. It is positioned as a low-cost fixed-income building block.,https://pressroom.aboutschwab.com/press-releases/press-release/2024/The-Schwab-Mortgage-Backed-Securities-ETF-SMBS-Starts-Trading/default.aspx,Person 1
Fidelity,Fidelity Enhanced Emerging Markets ETF (FEMR),2024-11-21,Emerging-markets equity,Active ETF,Investors seeking quantitative active EM equity exposure,1 share (plus brokerage minimums),See current prospectus,Actively managed emerging-markets equity ETF in Fidelity’s Enhanced suite. It applies quantitative factor analysis and active portfolio construction to an EM universe.,https://newsroom.fidelity.com/pressreleases/fidelity--launches-five-actively-managed-equity-etfs--reduces-pricing-on-active-high-yield-strategy/s/52b0671f-8bef-4bd0-ae72-2bfee733de61,Person 1
Fidelity,Fidelity Enhanced U.S. All-Cap Equity ETF (FEAC),2024-11-21,U.S. equity,Active ETF,Investors seeking factor-aware active U.S. equity exposure,1 share (plus brokerage minimums),See current prospectus,"One of Fidelity’s new actively managed equity ETFs in the Enhanced suite. The strategy uses quantitative signals such as valuation, growth, profitability, management signals and sentiment in portfolio construction.",https://newsroom.fidelity.com/pressreleases/fidelity--launches-five-actively-managed-equity-etfs--reduces-pricing-on-active-high-yield-strategy/s/52b0671f-8bef-4bd0-ae72-2bfee733de61,Person 1
Goldman Sachs,Goldman Sachs U.S. Large Cap Buffer 1 ETF (GBXA),2024-12-30,U.S. equities,Actively managed defined outcome ETF,Advisors and investors seeking capped upside with downside buffering over a 3-month outcome period,Typically 1 share / exchange trading minimum,0.50% net expense ratio,Defined-outcome ETF tied to U.S. large-cap equities with an options-based structure intended to provide equity participation up to a cap with a set downside buffer. It was the first fund in Goldman’s three-part buffer ETF suite.,https://am.gs.com/en-us/individual/funds/detail/PV106081/38149W531/goldman-sachs-u-s-large-cap-buffer-1-etf ; https://am.gs.com/cms-assets/gsam-app/documents/evergreen/en/gs-active-etf-relentless_brochure_us-version.pdf,Person 2
Goldman Sachs,Goldman Sachs EUR Investment Grade Corporate Bond Active UCITS ETF (GIGE),2025-01-21,Investment-grade fixed income,Actively managed UCITS ETF,Advisors and wealth clients seeking actively managed euro IG corporate bond exposure,Typically 1 share / exchange trading minimum,0.25% ongoing charges,"Active ETF focused on euro-denominated investment-grade corporate bonds. It launched alongside GIGU as part of Goldman’s first active ETF push in EMEA, combining active credit selection with ETF transparency and tradability.",https://am.gs.com/en-lu/advisors/funds/detail/PV106352/IE0009EDBBS3/goldman-sachs-eur-investment-grade-corporate-bond-active-ucits-etf ; https://am.gs.com/en-se/advisors/news/press-release/2025/goldman-sachs-asset-management-enters-active-etf-market-in-emea,Person 2
Goldman Sachs,Goldman Sachs USD Investment Grade Corporate Bond Active UCITS ETF (GIGU),2025-01-21,Investment-grade fixed income,Actively managed UCITS ETF,Advisors and wealth clients seeking actively managed U.S. investment-grade bond exposure,Typically 1 share / exchange trading minimum,0.25% ongoing charges,Active bond ETF investing primarily in U.S. dollar-denominated investment-grade corporate bonds. The launch marked Goldman’s entry into active fixed-income ETFs in EMEA and positioned the firm for advisor demand for active wrappers.,https://am.gs.com/en-fi/advisors/funds/detail/PV106358/IE000RRCJI06/goldman-sachs-usd-investment-grade-corporate-bond-active-ucits-etf ; https://am.gs.com/en-se/advisors/news/press-release/2025/goldman-sachs-asset-management-enters-active-etf-market-in-emea,Person 2
Goldman Sachs,Goldman Sachs U.S. Large Cap Buffer 2 ETF (GBXB),2025-01-30,U.S. equities,Actively managed defined outcome ETF,Advisors and investors seeking staggered buffered-outcome exposure,Typically 1 share / exchange trading minimum,0.50% net expense ratio,"Second launch in Goldman’s buffer ETF lineup, giving advisors another entry point in the rolling defined-outcome schedule. The structure seeks long-term capital appreciation with a buffered loss profile and capped upside.",https://am.gs.com/cms-assets/gsam-app/documents/evergreen/en/gs-active-etf-relentless_brochure_us-version.pdf ; https://am.gs.com/public-assets/documents/1f22b772-7a26-11f0-b009-f12fd51873ef?view=true,Person 2
Schwab,Schwab Core Bond ETF (SCCR),2025-02-05,Core fixed income,Active ETF,Investors seeking a low-cost core bond allocation,1 share (plus brokerage minimums),0.16%,"Active core bond ETF that invests across U.S. dollar-denominated investment-grade sectors including corporates, taxable munis, mortgage-backed securities, ABS and Treasuries. It is meant to serve as a core bond sleeve.",https://pressroom.aboutschwab.com/press-releases/press-release/2025/The-Schwab-Core-Bond-ETF-Begins-Trading/default.aspx,Person 1
JPMorgan,JPMorgan Flexible Income ETF (JFLI),2025-02-13,Multi-asset income,Active ETF,Retail investors and financial advisors seeking diversified income,1 share (plus brokerage minimums),0.35%,Active multi-asset income ETF combining roughly 75% global equity and 25% core fixed income. Designed to target a 6–8% yield while still allowing for capital appreciation.,https://am.jpmorgan.com/us/en/asset-management/adv/about-us/media/press-releases/jp-morgan-asset-management-launches-jpmorgan-flexible-income-etf-on-nyse/,Person 1
Goldman Sachs,Goldman Sachs U.S. Large Cap Buffer 3 ETF (GBXC),2025-02-27,U.S. equities,Actively managed defined outcome ETF,Advisors and investors seeking buffered exposure with a third outcome start date,Typically 1 share / exchange trading minimum,0.50% net expense ratio,"Third fund in Goldman’s active buffered ETF suite, expanding the firm’s defined-outcome menu for advisors. It pairs equity upside participation up to a cap with a stated downside buffer over a specified outcome period.",https://am.gs.com/en-us/advisors/news/press-release/2025/goldman-sachs-asset-management-expands-active-buffered-etf-suite ; https://am.gs.com/public-assets/documents/54f62a8a-7a26-11f0-88ac-93fdf1b660f8?view=true,Person 2
Edward Jones,Edward Jones Generations,2025-03-12,Private client wealth management,High-net-worth service and investment platform,U.S. high-net-worth clients with $10 million+ in investable assets,$10 million investable assets,Not publicly disclosed,"Edward Jones Generations is the firm’s first private client service for U.S. high-net-worth investors. It bundles advanced planning, broader product access, dedicated support, and an elevated service model to deepen the firm’s appeal in the affluent segment.",https://www.edwardjones.com/us-en/why-edward-jones/news-media/press-releases/enhancing-serve-high-net-worth-clients,Person 2
Goldman Sachs,G-PE Fund,2025-04-02,Private equity,Evergreen private markets fund,Qualified and high-net-worth investors seeking private-equity access,Not publicly disclosed; qualified investors only,Not publicly disclosed,"Goldman’s G-PE fund is an evergreen private equity strategy that gives investors access across flagship buyout, growth, secondaries, and co-investment strategies. It is part of the firm’s G-Series push to widen private-markets access for wealth clients.",https://am.gs.com/en-us/advisors/news/press-release/2025/G-Series-launch,Person 2
